label	text
OFF	@USER She should ask a few native Americans what their take on this is
OFF	@USER @USER Go home you’re drunk @USER #MAGA #Trump2020 :oncoming fist::United States::oncoming fist: URL
NOT	Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace URL #Amazon #MAGA #KAG #CHINA #TCOT
OFF	@USER Someone should veTaken this piece of shit to a volcano :face with tears of joy:
NOT	@USER @USER Obama wanted liberals  amp; illegals to move into red states
OFF	@USER Liberals are all Kookoo
OFF	@USER @USER Oh noes Tough shit
OFF	@USER was literally just talking about this lol all mass shootings like that have been set ups it’s propaganda used to divide us on major issues like gun control and terrorism
NOT	@USER Buy more icecream
OFF	@USER Canada doesn’t need another CUCK We already have enough #LooneyLeft #Liberals f king up our great country #Qproofs #TrudeauMustGo
NOT	@USER @USER @USER It’s not my fault you support gun control
NOT	@USER What’s the difference between #Kavanaugh and @USER One of these men admitted to groping a 15 year old girl years ago The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL
OFF	@USER you are a lying corrupt traitor Nobody wants to hear anymore of your lies #DeepStateCorruption URL
NOT	@USER @USER @USER It should scare every American She is playing Hockey with a warped puck
NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE
NOT	@USER you are also the king of taste
NOT	#MAGA @USER :musical notes: Sing like no one is listening :heart suit: Love like you ve never been hurt :heavy check mark: Vote GOP when no one is watching :hear-no-evil monkey: And don t listen to Liberals dirt URL
NOT	5 5: @USER The time is right for this House to respond to the concerns of all Canadians Four out of five Canadians support stronger gun control and with good reason ” #guncontrol #cdnpoli #cdnhist
NOT	@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show :face with tears of joy:
OFF	@USER @USER @USER gun control That is all these kids are asking for
OFF	@USER @USER @USER @USER LOL Throwing the BULLSHIT Flag on such nonsense #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL
NOT	@USER @USER You are correct
OFF	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?
OFF	@USER @USER Da fuck is going on people? There s the men s room and the women s room Pick one and stick w it :thinking face:
NOT	@USER Been a Willie fan since before most of you were born LOVE that he is holding a rally with Beto Exactly WHICH fans are furious? Could you give some specifics? URL
OFF	@USER Tbh these days i just don t like people in general i just don t connect with people these days just a annoyance
NOT	South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang” URL #TCOT #MAGA #RedNationRising
NOT	@USER @USER You can tell he is a hooper too
NOT	@USER I feel like he is better chasing the title
OFF	@USER @USER @USER She? To whom are you referring to? Hillary? You know what is tiresome? Bernie supporters bashing Hillary Clinton She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them She has a positive message So who is dividing the left?
NOT	@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists URL
NOT	@USER Yes you are but I was asking what is it about the movie ?:man shrugging::eyes:
OFF	The only thing the Democrats have is lying and stalling to stop Trump from being #President What have they done for you lately #Trump #Kavanaugh #MAGA #DEMSUCK
NOT	@USER No wonder he is being apologetic and more social these day
NOT	@USER @USER @USER Any updates re ending your blatant #racism as #Windrush  amp; #Grenfell proves you are @USER @USER #alloutpolitics #politicslive #PMQs @USER URL
NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now? I’m going to have to lay in bed and cry while I listen to Kelly Clarkson Thanks free speech antifa
OFF	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL
OFF	@USER @USER @USER That s expected if you placate the violent leftists terrorists #KavanaughConfirmation #woke
NOT	@USER Blow hard
NOT	@USER @USER @USER That means you are a max lvl Twitter user and maybe should try a new game
NOT	@USER @USER Please explain what controlled opposition means As for Bernier escaping he split with the rest of the Conservatives because he s even more racist and exclusionary than they want to be
NOT	@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden And well done for conflating criticism of Israel with anti semitism You are also part of the problem
NOT	3 Nina One of the reasons I didn t read this book for so long was because I was SO WORRIED about her character I should ve trusted everyone Nina is a goddamn goddess I would die for a thousand times over She is big and bold and lovely and PERFECT HER ARC IS PERFECT
NOT	@USER @USER @USER @USER @USER PLEASE vote NO on Kavanaugh He is not fit for SCOTUS and allegations about women and shady financials should disqualify him #RuleOfLaw matters #MeToo #CountryOverParty #WithdrawKavanaugh #StopKavanaugh
NOT	@USER @USER Ppl who say I m not racist are racist You Are A Racist Repeat after me
NOT	@USER Kathy the Patriot:Statue of Liberty: YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP A SPINE OF U S STEEL CHANGING IT ON TRADE  amp; EVERYTHING FOR AMERICANS #AMERICAFIRST #USA #MAGA #LEADERSHIP  amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP  amp; #THEUSA :grinning face: :Statue of Liberty::Statue of Liberty::Statue of Liberty: :grinning face:
NOT	@USER Wow you liberals really don’t have a sense of humor :face with rolling eyes:
NOT	@USER I M SO FUCKING READY
NOT	@USER Holy moly If the catholic people haven t been awakened by this #FalseProphet #Lunatic
NOT	@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc
NOT	@USER @USER @USER What a surprise same as antifa BLM and so on and so on Soros is Americas worst enemy in HISTORY He believes the only way to take down the USA is from withing And hes right But it s not gunna happen
NOT	@USER Me too Her wedding was the best She is very pretty
NOT	@USER @USER No conflict here don’t look at this #Soros involved in violent left agenda of Antifa also
NOT	@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour s ideas to get a few more votes
OFF	4 out of 10 British people are basically full-on racists 4 out of 10 voters vote for the Conservatives Coincidence ??? ???
NOT	#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL
NOT	@USER @USER Hi there We love what a huge fan of Camila Mendes you are Would it be alright if we used your tweet about her in our promotional material?
OFF	@USER Fuck off
NOT	@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities I’d like to know if the black population that suffers the most shares her opinion
OFF	@USER @USER The prison system is so fucked Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing
OFF	@USER @USER She is useless Attempts to do the right thing but never follows through
NOT	#WalkAway liberals Your party is POISON URL
OFF	@USER Grateful Trump doesn’t have a dog in the White House He is a cruel man
NOT	@USER You are lying Stick with the facts We pay more than that now
OFF	@USER Trump kicks dem butt - its so fun
OFF	@USER @USER @USER He is dumb and dumber all in one president It s a two for one
NOT	#Toxictory minister @USER attempted to expense £50 charity donation It s what @USER do @USER #Toriesmustgo #DissolveTheUnion URL
NOT	@USER ur so straight forword man:OK hand: i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior:green heart: artist love for #Manmarziyaan :cowboy hat face::thumbs up:
OFF	@USER And this from the clown that should be in prison?
NOT	@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions @USER @USER @USER @USER URL
OFF	@USER Thats because you are an old man
OFF	@USER @USER @USER They are obstructionists Anti-american Pharisees Ask them what they are running on and you get nothing Maga
NOT	@USER @USER No you re not you re here 2 represent the Alinskyite Orwellian Leftist Tool amp;Fool view on things like 99 9  of the Marxists amp;Antifa similar 2U psst And B4U use the words fascist or fascism again go ahead  amp; read D Souza s book The Big Lie right now U know SQUAT about either
NOT	@USER I do remember : But somehow centrist antifa-haters can never quite seem to bring themselves to condemn such things
OFF	@USER I mean it worked for gun control right? URL
NOT	@USER I think the last thing on the WH or Trump s mind is April Ryan She needs to stop flattering herself She s not as important as she thinks she is
NOT	@USER Principled conservatives are #Hypocrickets
NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don t forget @USER  amp; Democrat backed #Antifa
NOT	@USER She is a beautiful person to teach values to her kids Teaching them they are royalty but keep to keep it from going to their heads Stay real :red heart:
NOT	@USER Bring out his Antifa criminal son to campaign for him
NOT	@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment protest on a Saturday
NOT	A tear is made of 1  water and 99  feelings
NOT	@USER @USER Trump addresses gun control representing the NRA I will not let you down he says URL
OFF	@USER She is drinking so much koolaid she’s bloated
NOT	@USER Holder needs to be prosecuted
NOT	@USER But But BOTH PLAYERS WERE WOMEN And BOTH WERE WOMEN OF COLOR
OFF	@USER @USER @USER @USER The Institution only let her tweet when she behaves She is a Window Licker
NOT	babysitting 3 kids people:”how old do you think she is?” “she has three kids” me: dont get mad don’t get mad they don’t know they don’t know
NOT	@USER well ? URL
OFF	WTC This is a threat @USER #Maga #QAnon #WakeUpAmerica URL
NOT	@USER It s easily digestible content There s no need for nuance or to even understand the story They can show a picture of an ANTIFA and get the base level emotional response their content requires in order to be profitable
NOT	@USER @USER Try looking for plain old democrats The liberals are the ones which you can’t have a conversation with
NOT	@USER Great news Old moonbeam Just went into a coma :face with tears of joy:
NOT	@USER OMG HE IS SO EXTRA ILY
OFF	@USER @USER @USER Please call trump out for what he is a NARCISSISTIC SOCIOPATH
NOT	@USER @USER Unfortunately in America a system like that would be called racist Liberals believe exams are racist against minority groups
NOT	@USER I know She is still alive but wondering if her career was railroaded? Odd Loved her especially that day
NOT	@USER @USER Guy you are always present bet why? Lol
NOT	@USER @USER what a baby URL
NOT	@USER you are very persuasive fam
NOT	@USER THAT S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY WE WILL VOTE NO TO LIBERALS IN NOVEMBER URL
NOT	@USER Burt A cool dude
NOT	#MAGA IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK
NOT	@USER thank u i’m finally at the point where i’m okay with using heat on it again i’m so happy
NOT	@USER Kind of like what trump does all the time huh?
NOT	@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me
OFF	@USER Fuck em
OFF	@USER Good move he is the big loser
NOT	@USER Let s get to the bottom of this DM me your zipcode and I ll check it out We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP NevinBruce
NOT	@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen Bc we had no other credible choice He won’t be at the next election
NOT	@USER The president’s feelings are totally opposite of CNN’s feelings So what does that say about CNN? They’re all liberals
OFF	@USER it s literally a narrative that is on par with Nazis punch antifa punch they are two sides of the same coin noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews the other just wants to prevent them from doing that and this comparison benefits fash
OFF	@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common
NOT	@USER she is idk what s going on
NOT	@USER @USER Yall need to chill he is having a really abysmal 2nd half Rizzo had an abysmal 1st half Its baseball it happens Does he have things he still needs to work on yes Has the power numbers dropped yes but he could bounce back at anytime URL
NOT	@USER Dude you are old Lmao PS: Go Pack Go
NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That s why Trump supporters can t even wear a hat without being abused If they meet the animals on the left attack them Antifa is a branch of the Communist-Socialist-Nazis Democrat Party
NOT	@USER The laughs I’ve gotten from you are enough :relieved face:
NOT	@USER @USER @USER well?
NOT	@USER @USER @USER First of all  they don’t even have pizza at Panera
OFF	@USER @USER @USER please don t kill me antifa on the other hand
NOT	@USER Did you see Shanahan say Spoon was not 100  healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game Maybe he is still pretty good
NOT	@USER Good girl @USER
OFF	@USER @USER She is an ugly black hearted troll URL
NOT	@USER @USER @USER You are clearly not a pokemon master I have almost 400 in rare candy alone Over 150 legacy moveset pokemon It just all depends on what you like to keep as collection pieces and what you value in the game
OFF	@USER Dont believe the hype
NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA Please follow back
NOT	#Protests Reported in #Sunderland Except these are #football fan and one #flag says #WestBrom on it? Getting worse now even as I type? #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists doomed to lose but do not realises it) #CivilWar soon? URL
NOT	@USER Liberals would still vote for him They ll claim his comments were Taken out of context and that he is still a man of integrity
OFF	@USER @USER We have been saved from you MAGA
NOT	@USER You are bringing up honor and decency? With that yoyo in the picture? That s rich
NOT	@USER Good riddance
NOT	@USER She is a goddess
NOT	@USER Omg xD The worst or the best in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing and the rest standin there like nope he is no suffering so he is dead yeah pretty dead
OFF	@USER You can probably imagine all the SJW snowflakes that don t feel safe working where there might be conservatives lurking in the shadows Conservatives are now the Ruskies of the 21st century
NOT	@USER @USER I see May in the same light as yourself Even the last election was about her and not the Conservatives A split is coming to the Tory partyvery soon
OFF	@USER This all I get :crying face: damn these haters deleting you IG for no reason URL
NOT	@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?
NOT	@USER You warned everyone about Josh Gordon the last 4 months on a daily basis I m sure you are as shocked as I am of what transpired today
NOT	@USER @USER @USER Why can t liberals read?????? READ it AGAIN URL
OFF	@USER SJSHSJ THATS MY JOB BITCH
NOT	@USER Do they discuss Haiti?
OFF	@USER @USER @USER What part of NO COLLUSION don t you get??? This is why you are a dumocrat
NOT	@USER He is very skilled:face with tears of joy::face with tears of joy:
NOT	@USER You are amazing :yellow heart::yellow heart::yellow heart:
NOT	@USER Fist pump was for the troops
OFF	@USER if the reason for Farakans illegal values are because he is black or Muslim that would be a reason to detest him I believe his illegal values are simply a result of bad character like his supporters
OFF	@USER Let the leftist democrats riot in the streets with their antifa counterparts
NOT	@USER I thought Canada had strict gun control Help me understand what is happening
NOT	@USER They don’t want you following people because they don’t like conservatives Sickening how biased Twitter’s management is #TwitterLeftBias
NOT	@USER He is doing life tho:expressionless face:
NOT	@USER It s SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false How can the word spread even more to those who need to know? #MAGA #NAACP
OFF	@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached
NOT	@USER @USER @USER Have you seen or listened to your ANTIFA pals?
NOT	@USER @USER In case of antifa take a little bat or something Good for you- more of should do that kind of thing
NOT	@USER Your titles scare me a little bit ;-)
NOT	@USER  gt;Eradicating HIV and Malaria in the middle of Africa Good bloody luck
NOT	@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade #ableg #cdnpoli
NOT	@USER And who seems to be getting things done
NOT	I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer YFC 2)
OFF	@USER So has the Law changed you just make an allegation now days and your guilty until proven innocent Liberals are mentally ill
NOT	@USER Straight up different Thank Joe Biden for that one I also wonder the outcome if her name had been Antifa Hill
OFF	@USER This game sucks donkey balls
NOT	@USER Yo for real you are gorgeous
OFF	@USER Absolutely should be a nail in the coffin for Hilliary
NOT	@USER @USER I hope he gets on twitter so I can tell him how amazing he is :red heart::grinning face with smiling eyes:
NOT	@USER Who are “they” Gun control has been tried and is a proven failure This is why people don’t vote democrat They refuse to admit reality Gun control doesn’t work
NOT	@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about Just because California has the biggest population does not mean the U S shares in their values Get a clue Hillary
NOT	@USER @USER Doesn t he partly fund Antifa?
OFF	@USER He is a DUMBASS
